timestamp,lane,vehicles,density,green_time
2026-06-05 01:04:37,lane1,10,MEDIUM,20
2026-06-05 01:04:37,lane2,2,LOW,10
2026-06-05 01:04:37,lane3,18,HIGH,30
2026-06-05 01:04:37,lane4,7,MEDIUM,20
2026-06-05 01:05:20,lane1,30,HIGH,30
2026-06-05 01:05:20,lane2,27,HIGH,30
2026-06-05 01:05:20,lane3,10,MEDIUM,20
2026-06-05 01:05:20,lane4,18,HIGH,30
2026-06-05 01:05:22,lane1,17,HIGH,30
2026-06-05 01:05:22,lane2,26,HIGH,30
2026-06-05 01:05:22,lane3,26,HIGH,30
2026-06-05 01:05:22,lane4,28,HIGH,30
2026-06-05 01:05:24,lane1,4,LOW,10
2026-06-05 01:05:24,lane2,17,HIGH,30
2026-06-05 01:05:24,lane3,28,HIGH,30
2026-06-05 01:05:24,lane4,19,HIGH,30
2026-06-05 01:06:29,lane1,21,HIGH,30
2026-06-05 01:06:29,lane2,14,MEDIUM,20
2026-06-05 01:06:29,lane3,29,HIGH,30
2026-06-05 01:06:29,lane4,4,LOW,10
2026-06-05 01:06:32,lane1,3,LOW,10
2026-06-05 01:06:32,lane2,28,HIGH,30
2026-06-05 01:06:32,lane3,25,HIGH,30
2026-06-05 01:06:32,lane4,1,LOW,10
2026-06-05 01:06:33,lane1,18,HIGH,30
2026-06-05 01:06:33,lane2,8,MEDIUM,20
2026-06-05 01:06:33,lane3,22,HIGH,30
2026-06-05 01:06:33,lane4,4,LOW,10
2026-06-05 01:06:35,lane1,7,MEDIUM,20
2026-06-05 01:06:35,lane2,23,HIGH,30
2026-06-05 01:06:35,lane3,19,HIGH,30
2026-06-05 01:06:35,lane4,2,LOW,10
2026-06-05 01:06:38,lane1,9,MEDIUM,20
2026-06-05 01:06:38,lane2,30,HIGH,30
2026-06-05 01:06:38,lane3,27,HIGH,30
2026-06-05 01:06:38,lane4,28,HIGH,30
2026-06-05 01:06:39,lane1,14,MEDIUM,20
2026-06-05 01:06:39,lane2,18,HIGH,30
2026-06-05 01:06:39,lane3,28,HIGH,30
2026-06-05 01:06:39,lane4,13,MEDIUM,20
2026-06-05 01:06:41,lane1,17,HIGH,30
2026-06-05 01:06:41,lane2,26,HIGH,30
2026-06-05 01:06:41,lane3,1,LOW,10
2026-06-05 01:06:41,lane4,19,HIGH,30
2026-06-05 01:06:44,lane1,5,MEDIUM,20
2026-06-05 01:06:44,lane2,4,LOW,10
2026-06-05 01:06:44,lane3,26,HIGH,30
2026-06-05 01:06:44,lane4,2,LOW,10
2026-06-05 01:06:46,lane1,15,HIGH,30
2026-06-05 01:06:46,lane2,11,MEDIUM,20
2026-06-05 01:06:46,lane3,29,HIGH,30
2026-06-05 01:06:46,lane4,29,HIGH,30
2026-06-05 01:06:47,lane1,30,HIGH,30
2026-06-05 01:06:47,lane2,2,LOW,10
2026-06-05 01:06:47,lane3,24,HIGH,30
2026-06-05 01:06:47,lane4,3,LOW,10
2026-06-05 01:06:50,lane1,22,HIGH,30
2026-06-05 01:06:50,lane2,25,HIGH,30
2026-06-05 01:06:50,lane3,8,MEDIUM,20
2026-06-05 01:06:50,lane4,8,MEDIUM,20
2026-06-05 01:06:52,lane1,29,HIGH,30
2026-06-05 01:06:52,lane2,2,LOW,10
2026-06-05 01:06:52,lane3,1,LOW,10
2026-06-05 01:06:52,lane4,12,MEDIUM,20
2026-06-05 01:06:53,lane1,3,LOW,10
2026-06-05 01:06:53,lane2,18,HIGH,30
2026-06-05 01:06:53,lane3,22,HIGH,30
2026-06-05 01:06:53,lane4,11,MEDIUM,20
2026-06-05 01:06:56,lane1,29,HIGH,30
2026-06-05 01:06:56,lane2,22,HIGH,30
2026-06-05 01:06:56,lane3,18,HIGH,30
2026-06-05 01:06:56,lane4,7,MEDIUM,20
2026-06-05 01:06:58,lane1,12,MEDIUM,20
2026-06-05 01:06:58,lane2,10,MEDIUM,20
2026-06-05 01:06:58,lane3,13,MEDIUM,20
2026-06-05 01:06:58,lane4,18,HIGH,30
2026-06-05 01:06:59,lane1,30,HIGH,30
2026-06-05 01:06:59,lane2,4,LOW,10
2026-06-05 01:06:59,lane3,5,MEDIUM,20
2026-06-05 01:06:59,lane4,27,HIGH,30
2026-06-05 01:07:02,lane1,20,HIGH,30
2026-06-05 01:07:02,lane2,9,MEDIUM,20
2026-06-05 01:07:02,lane3,13,MEDIUM,20
2026-06-05 01:07:02,lane4,18,HIGH,30
2026-06-05 01:07:04,lane1,17,HIGH,30
2026-06-05 01:07:04,lane2,16,HIGH,30
2026-06-05 01:07:04,lane3,10,MEDIUM,20
2026-06-05 01:07:04,lane4,6,MEDIUM,20
2026-06-05 01:07:06,lane1,1,LOW,10
2026-06-05 01:07:06,lane2,9,MEDIUM,20
2026-06-05 01:07:06,lane3,23,HIGH,30
2026-06-05 01:07:06,lane4,6,MEDIUM,20
2026-06-05 01:07:08,lane1,9,MEDIUM,20
2026-06-05 01:07:08,lane2,0,LOW,10
2026-06-05 01:07:08,lane3,25,HIGH,30
2026-06-05 01:07:08,lane4,21,HIGH,30
2026-06-05 01:07:10,lane1,2,LOW,10
2026-06-05 01:07:10,lane2,18,HIGH,30
