timestamp,lane,vehicles,density,green_time
2026-06-05 22:57:29,lane1,9,MEDIUM,20
2026-06-05 22:57:29,lane2,11,MEDIUM,20
2026-06-05 22:57:29,lane3,22,HIGH,30
2026-06-05 22:57:29,lane4,28,HIGH,30
2026-06-05 22:57:30,lane1,21,HIGH,30
2026-06-05 22:57:30,lane2,22,HIGH,30
2026-06-05 22:57:30,lane3,6,MEDIUM,20
2026-06-05 22:57:30,lane4,10,MEDIUM,20
2026-06-05 22:57:32,lane1,8,MEDIUM,20
2026-06-05 22:57:32,lane2,11,MEDIUM,20
2026-06-05 22:57:32,lane3,25,HIGH,30
2026-06-05 22:57:32,lane4,11,MEDIUM,20
2026-06-05 22:57:34,lane1,26,HIGH,30
2026-06-05 22:57:34,lane2,13,MEDIUM,20
2026-06-05 22:57:34,lane3,12,MEDIUM,20
2026-06-05 22:57:34,lane4,27,HIGH,30
2026-06-05 22:57:36,lane1,26,HIGH,30
2026-06-05 22:57:36,lane2,10,MEDIUM,20
2026-06-05 22:57:36,lane3,13,MEDIUM,20
2026-06-05 22:57:36,lane4,11,MEDIUM,20
2026-06-05 22:57:38,lane1,16,HIGH,30
2026-06-05 22:57:38,lane2,9,MEDIUM,20
2026-06-05 22:57:38,lane3,24,HIGH,30
2026-06-05 22:57:38,lane4,12,MEDIUM,20
2026-06-05 22:57:40,lane1,20,HIGH,30
2026-06-05 22:57:40,lane2,30,HIGH,30
2026-06-05 22:57:40,lane3,13,MEDIUM,20
2026-06-05 22:57:40,lane4,15,HIGH,30
2026-06-05 23:04:25,lane1,11,MEDIUM,20
2026-06-05 23:04:25,lane2,12,MEDIUM,20
2026-06-05 23:04:25,lane3,16,HIGH,30
2026-06-05 23:04:25,lane4,24,HIGH,30
2026-06-05 23:04:27,lane1,30,HIGH,30
2026-06-05 23:04:27,lane2,9,MEDIUM,20
2026-06-05 23:04:27,lane3,16,HIGH,30
2026-06-05 23:04:27,lane4,18,HIGH,30
2026-06-05 23:04:29,lane1,23,HIGH,30
2026-06-05 23:04:29,lane2,29,HIGH,30
2026-06-05 23:04:29,lane3,30,HIGH,30
2026-06-05 23:04:29,lane4,14,MEDIUM,20
2026-06-05 23:04:31,lane1,11,MEDIUM,20
2026-06-05 23:04:31,lane2,10,MEDIUM,20
2026-06-05 23:04:31,lane3,22,HIGH,30
2026-06-05 23:04:31,lane4,5,MEDIUM,20
2026-06-05 23:04:33,lane1,17,HIGH,30
2026-06-05 23:04:33,lane2,10,MEDIUM,20
2026-06-05 23:04:33,lane3,25,HIGH,30
2026-06-05 23:04:33,lane4,15,HIGH,30
2026-06-05 23:04:35,lane1,4,LOW,10
2026-06-05 23:04:35,lane2,19,HIGH,30
2026-06-05 23:04:35,lane3,18,HIGH,30
2026-06-05 23:04:35,lane4,25,HIGH,30
2026-06-05 23:04:37,lane1,15,HIGH,30
2026-06-05 23:04:37,lane2,12,MEDIUM,20
2026-06-05 23:04:37,lane3,1,LOW,10
2026-06-05 23:04:37,lane4,27,HIGH,30
2026-06-05 23:04:39,lane1,2,LOW,10
2026-06-05 23:04:39,lane2,2,LOW,10
2026-06-05 23:04:39,lane3,30,HIGH,30
2026-06-05 23:04:39,lane4,17,HIGH,30
2026-06-05 23:04:41,lane1,9,MEDIUM,20
2026-06-05 23:04:41,lane2,17,HIGH,30
2026-06-05 23:04:41,lane3,3,LOW,10
2026-06-05 23:04:41,lane4,26,HIGH,30
2026-06-05 23:04:43,lane1,2,LOW,10
2026-06-05 23:04:43,lane2,19,HIGH,30
2026-06-05 23:04:43,lane3,6,MEDIUM,20
2026-06-05 23:04:43,lane4,4,LOW,10
2026-06-05 23:04:46,lane1,19,HIGH,30
2026-06-05 23:04:46,lane2,18,HIGH,30
2026-06-05 23:04:46,lane3,1,LOW,10
2026-06-05 23:04:46,lane4,13,MEDIUM,20
2026-06-05 23:04:48,lane1,8,MEDIUM,20
2026-06-05 23:04:48,lane2,5,MEDIUM,20
2026-06-05 23:04:48,lane3,3,LOW,10
2026-06-05 23:04:48,lane4,16,HIGH,30
2026-06-05 23:04:50,lane1,5,MEDIUM,20
2026-06-05 23:04:50,lane2,8,MEDIUM,20
2026-06-05 23:04:50,lane3,24,HIGH,30
2026-06-05 23:04:50,lane4,3,LOW,10
2026-06-05 23:06:28,lane1,27,HIGH,30
2026-06-05 23:06:28,lane2,5,MEDIUM,20
2026-06-05 23:06:28,lane3,20,HIGH,30
2026-06-05 23:06:28,lane4,9,MEDIUM,20
2026-06-05 23:06:30,lane1,19,HIGH,30
2026-06-05 23:06:30,lane2,30,HIGH,30
2026-06-05 23:06:30,lane3,14,MEDIUM,20
2026-06-05 23:06:30,lane4,27,HIGH,30
2026-06-05 23:06:32,lane1,19,HIGH,30
2026-06-05 23:06:32,lane2,6,MEDIUM,20
2026-06-05 23:06:32,lane3,13,MEDIUM,20
2026-06-05 23:06:32,lane4,6,MEDIUM,20
2026-06-05 23:06:34,lane1,11,MEDIUM,20
2026-06-05 23:06:34,lane2,9,MEDIUM,20
2026-06-05 23:06:34,lane3,3,LOW,10
2026-06-05 23:06:34,lane4,10,MEDIUM,20
2026-06-05 23:06:36,lane1,0,LOW,10
2026-06-05 23:06:36,lane2,16,HIGH,30
2026-06-05 23:06:36,lane3,30,HIGH,30
2026-06-05 23:06:36,lane4,8,MEDIUM,20
2026-06-05 23:06:38,lane1,17,HIGH,30
2026-06-05 23:06:38,lane2,12,MEDIUM,20
2026-06-05 23:06:38,lane3,3,LOW,10
2026-06-05 23:06:38,lane4,1,LOW,10
2026-06-05 23:06:40,lane1,13,MEDIUM,20
2026-06-05 23:06:40,lane2,30,HIGH,30
2026-06-05 23:06:40,lane3,6,MEDIUM,20
2026-06-05 23:06:40,lane4,30,HIGH,30
2026-06-05 23:06:42,lane1,19,HIGH,30
2026-06-05 23:06:42,lane2,21,HIGH,30
2026-06-05 23:06:42,lane3,10,MEDIUM,20
2026-06-05 23:06:42,lane4,3,LOW,10
2026-06-05 23:06:45,lane1,21,HIGH,30
2026-06-05 23:06:45,lane2,25,HIGH,30
2026-06-05 23:06:45,lane3,9,MEDIUM,20
2026-06-05 23:06:45,lane4,24,HIGH,30
2026-06-05 23:06:47,lane1,17,HIGH,30
2026-06-05 23:06:47,lane2,28,HIGH,30
2026-06-05 23:06:47,lane3,6,MEDIUM,20
2026-06-05 23:06:47,lane4,14,MEDIUM,20
2026-06-05 23:06:49,lane1,24,HIGH,30
2026-06-05 23:06:49,lane2,16,HIGH,30
2026-06-05 23:06:49,lane3,8,MEDIUM,20
2026-06-05 23:06:49,lane4,28,HIGH,30
